evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
265 2.3277467412
1912 2.4752475248
2342 2.5987525988
5049 2.6881720430
5978 2.9411764706
7971 2.9976019185
11357 3.1806615776
12591 3.2467532468
17209 3.9936102236
100000 3.9936102236
evaluations raw_y
1 0.6480041472
2 0.9405568096
3 0.9944311854
5 1.2899896801
6 2.0000000000
58 2.0525451560
119 2.3629489603
406 2.5562372188
1548 2.5987525988
3134 2.6427061311
4096 2.9411764706
9595 3.1806615776
10388 3.5410764873
13432 4.0983606557
20114 4.4483985765
100000 4.4483985765
evaluations raw_y
1 1.2690355330
2 1.3007284079
3 1.3572204126
7 1.4318442153
19 1.4723203769
23 1.5006002401
29 1.8355359765
77 2.0000000000
503 2.2935779817
808 2.9411764706
5491 3.7993920973
19393 3.9936102236
100000 3.9936102236
evaluations raw_y
1 0.6197322757
2 1.7730496454
33 1.9025875190
53 2.1367521368
175 2.5562372188
4037 2.6881720430
5158 2.8868360277
5274 2.9411764706
5824 3.0562347188
9287 3.1172069825
11681 3.3156498674
12100 3.4626038781
12955 3.9936102236
100000 3.9936102236
evaluations raw_y
1 0.8261731659
2 1.1825922422
4 1.3812154696
10 1.8796992481
92 2.1663778163
342 2.1968365554
537 2.2603978300
1388 2.7839643653
4247 2.9411764706
7557 3.0562347188
7801 3.1172069825
11694 3.6231884058
100000 3.6231884058
evaluations raw_y
1 0.8350033400
2 1.1916110582
6 1.4723203769
8 1.5451174289
29 1.6087516088
52 1.6425755585
58 1.6600265604
65 2.0259319287
170 2.0525451560
235 2.3992322457
410 2.4752475248
629 2.7839643653
4845 2.8344671202
7245 2.8868360277
9609 2.9411764706
10797 2.9976019185
11585 3.0562347188
12256 3.1806615776
13003 3.3156498674
16343 3.7091988131
100000 3.7091988131
evaluations raw_y
1 0.6453278265
2 1.2195121951
4 1.2291052114
9 1.3812154696
14 1.3935340022
16 1.6254876463
30 1.6425755585
74 1.7730496454
108 2.1968365554
1665 2.4366471735
2588 2.5150905433
3374 2.5562372188
4524 2.8344671202
5657 2.9411764706
12532 3.0562347188
13647 3.2467532468
15265 3.5410764873
29803 4.5787545788
100000 4.5787545788
evaluations raw_y
1 1.4060742407
27 1.5006002401
47 1.6425755585
50 1.9025875190
54 2.0000000000
339 2.0259319287
340 2.0798668885
348 2.1367521368
457 2.1968365554
939 2.2281639929
1747 2.4752475248
1913 2.6427061311
2394 2.6881720430
5103 2.9411764706
6114 2.9976019185
6392 3.0562347188
7550 3.1172069825
8593 3.2467532468
9965 3.4626038781
10747 3.5410764873
10850 3.9936102236
100000 3.9936102236
evaluations raw_y
1 1.2195121951
3 1.4450867052
7 1.5006002401
20 1.7146776406
121 2.0259319287
438 2.1079258010
1274 2.2935779817
1329 2.5562372188
2995 2.6427061311
3719 2.7352297593
6544 2.7839643653
7255 2.8868360277
7418 2.9411764706
8001 3.1172069825
13068 3.3156498674
18422 3.3875338753
20017 3.8940809969
100000 3.8940809969
evaluations raw_y
1 1.7934002869
25 1.8573551263
119 1.9747235387
161 2.1968365554
340 2.2603978300
1121 2.5987525988
3420 2.9976019185
4154 3.2467532468
5999 3.8940809969
11104 4.0983606557
20683 4.2087542088
100000 4.2087542088
evaluations raw_y
1 0.9520182788
2 1.1825922422
4 1.2291052114
7 1.5006002401
10 1.5605493134
26 1.6960651289
72 2.1367521368
758 2.4366471735
1314 2.4752475248
2662 2.5562372188
2988 2.8344671202
5260 2.9976019185
8694 3.3875338753
14702 3.7993920973
30909 3.9936102236
35909 4.2087542088
42191 4.5787545788
100000 4.5787545788
evaluations raw_y
1 1.4585764294
17 1.6600265604
41 1.8796992481
49 2.3629489603
1317 2.4366471735
1768 3.1172069825
8292 3.2467532468
20767 3.4626038781
25806 3.7993920973
28298 3.9936102236
100000 3.9936102236
evaluations raw_y
1 1.2899896801
3 1.3007284079
7 1.5006002401
20 2.0000000000
258 2.3629489603
2192 2.4366471735
2677 2.5150905433
2914 2.5987525988
3791 2.8868360277
5889 2.9976019185
12732 3.0562347188
18428 3.1172069825
20157 3.3156498674
26659 3.8940809969
100000 3.8940809969
evaluations raw_y
1 0.9758001561
2 1.1394712853
6 1.3455328310
8 1.5299877601
32 1.9025875190
39 2.1367521368
324 2.2603978300
1383 2.7839643653
3803 3.3156498674
9658 3.6231884058
18575 3.7091988131
100000 3.7091988131
evaluations raw_y
1 1.1649580615
4 1.2690355330
8 1.6425755585
31 1.6778523490
83 1.9747235387
249 2.0259319287
416 2.0525451560
551 2.1367521368
679 2.1968365554
1208 2.4366471735
1581 2.5562372188
2070 2.6427061311
5893 2.9411764706
8743 3.1172069825
17293 3.3156498674
21116 3.3875338753
23191 3.4626038781
28941 3.5410764873
32887 3.6231884058
100000 3.6231884058
evaluations raw_y
1 0.7507507508
2 1.0766580534
3 1.3007284079
6 1.4863258026
11 1.9260400616
18 2.0525451560
31 2.1663778163
341 2.4366471735
2316 2.6881720430
4314 2.7352297593
4804 2.9411764706
5041 2.9976019185
6304 3.1172069825
7766 3.1806615776
27548 3.2467532468
33810 3.5410764873
100000 3.5410764873
evaluations raw_y
1 1.3935340022
4 2.7352297593
134 2.7839643653
154 3.0562347188
4998 3.7091988131
100000 3.7091988131
evaluations raw_y
1 1.2588116818
3 1.3812154696
4 1.7934002869
13 1.8796992481
24 1.9500780031
155 2.0798668885
286 2.1663778163
1070 2.6881720430
3219 2.7352297593
3669 2.8344671202
6547 2.9411764706
7718 3.3875338753
14435 3.5410764873
14682 3.8940809969
100000 3.8940809969
evaluations raw_y
1 0.8394895903
2 1.0766580534
3 1.6254876463
14 1.8573551263
28 1.8796992481
69 2.0525451560
386 2.1663778163
833 2.1968365554
889 2.2603978300
1041 2.3277467412
1166 2.5987525988
3118 2.6881720430
6895 2.9411764706
10741 3.4626038781
17562 3.5410764873
17698 3.6231884058
100000 3.6231884058
evaluations raw_y
1 1.4060742407
2 1.4863258026
4 1.5605493134
18 1.7730496454
19 1.8355359765
26 2.6881720430
442 2.8344671202
6225 3.3156498674
9164 3.5410764873
20693 4.0983606557
100000 4.0983606557
