evaluations raw_y
1 21.5030740467
2 8.4995735097
5 5.1698713167
23 4.3559905190
63 4.1806832412
510 2.6762594906
2305 2.3080704541
4441 1.9973857466
4963 1.9322574756
5017 1.3944498669
19051 1.2941415198
31331 1.2629084824
50000 20.4639876467
evaluations raw_y
1 12.0668227502
2 8.6748197210
4 5.7388635395
53 4.8001148447
77 4.3023002565
97 3.0006018289
239 2.9590726114
1034 1.5299716164
2995 1.4690322916
10978 1.3892958946
32487 1.1202514647
50000 16.5645683128
evaluations raw_y
1 21.6189171215
2 14.7523087069
3 14.4804174396
5 6.3701216649
26 3.4806460848
233 3.4461606614
247 3.1800812290
631 3.1719487712
704 2.5920849982
5874 2.3089751131
21458 1.9734568121
28414 1.9593823107
31486 1.1432691789
50000 13.3065876524
evaluations raw_y
1 7.2571596300
11 6.8800548827
17 6.6555427438
18 5.4533495858
46 4.2022786782
77 2.0259597629
907 1.9375181031
1144 1.5606018892
9818 1.3731843484
50000 15.0494267236
evaluations raw_y
1 13.6313062060
4 8.2322633668
17 4.1960093337
49 3.8748530757
70 3.6922373121
219 3.3970172039
310 3.2989153627
390 3.0842702586
781 2.3221044808
2499 2.0230099016
11515 2.0049603498
18737 1.9620577868
22788 1.8256021084
26056 1.3827666228
28199 1.1660749803
50000 13.1443065389
evaluations raw_y
1 22.9957135685
2 22.7915397492
3 18.7665625864
4 10.6887166653
8 8.4325377525
17 5.7379686136
56 2.8722133380
1147 1.8749752064
4962 1.7530460078
7614 1.5610031451
50000 11.8279104222
evaluations raw_y
1 16.1211348628
2 10.0915989606
3 8.6460091778
18 7.9990286752
27 6.8106064725
31 4.3374916587
108 4.1804779298
225 3.2360538240
633 2.9258711001
2420 2.1599815001
5291 2.0545791097
6624 1.4454092940
40017 0.8100217584
50000 5.7344743061
evaluations raw_y
1 22.8347325356
2 8.3920376336
3 5.2000616893
48 4.2904489536
71 1.9533706364
974 1.8182248990
1599 1.7775277880
3085 1.7203434484
39192 1.6342158685
50000 19.3197325709
evaluations raw_y
1 9.2905114645
3 7.7090472087
4 6.9466010842
12 3.9936225937
46 3.7010180470
132 3.3568224378
164 3.2941669284
286 3.2752369223
622 3.0141153764
786 2.5778717162
1185 2.1856728193
2096 2.0016261142
4675 1.8237662947
8926 1.7375841903
11791 1.6802710233
38355 1.4998633481
50000 23.5577768129
evaluations raw_y
1 16.9137259476
6 11.3172624836
14 11.1805613945
15 9.7931445129
19 8.7753759968
22 6.4831669856
24 5.7298958741
104 3.9245680373
374 3.5606444844
564 1.8847499986
3153 1.7131093275
3416 1.6137555667
23027 0.7711196301
50000 16.3831152490
evaluations raw_y
1 9.4942482165
2 9.4640424031
4 8.3944670491
13 6.4340070027
53 6.2611435798
111 5.4819079146
157 3.8508251171
179 2.7978381189
1385 2.6855255747
1524 2.3967459084
2785 2.0494717775
3676 2.0391304324
8017 1.9662264721
10367 1.6385741382
27621 1.6035920702
37994 1.4779857162
50000 7.1636245727
evaluations raw_y
1 22.8147880119
2 4.6093882560
199 3.6452850178
426 2.9589087470
1639 2.6155974288
1779 2.4087979045
3903 2.2222221024
8951 2.0048722624
14832 1.8741277715
15434 1.3942774619
50000 14.6617758007
evaluations raw_y
1 5.3526561106
7 4.0001515089
14 3.8653305266
131 2.5179953794
142 2.4562462711
771 2.2738651537
2568 1.9823535191
16902 1.6485844370
23738 1.6345717498
35502 1.5585705078
44590 1.0327117323
50000 22.1398878727
evaluations raw_y
1 22.1089855161
3 18.6027914775
4 3.8929766829
450 3.5191115234
603 2.1655489993
1031 2.1232063222
4614 1.7591375374
23783 1.6110325924
50000 9.0961552754
evaluations raw_y
1 9.8678602641
7 7.6567309091
20 6.6946271510
49 4.1316124170
91 3.6136273497
213 2.6768138837
1776 2.1665619434
5745 2.0613980664
7171 1.5440573002
18566 1.3366945044
50000 27.8706777027
evaluations raw_y
1 19.5865375495
2 17.3805243820
5 7.1496261598
8 6.9740147913
23 4.3598770401
33 3.5562009005
641 2.2998269562
1824 2.1506577220
2597 2.1362058489
4380 1.7777397100
11692 1.5661496559
13136 1.2905030508
46834 1.1672627851
50000 24.4977752805
evaluations raw_y
1 11.8207188264
2 8.7703821315
4 7.5955171572
15 5.0718961519
26 2.4770215493
7770 2.1980643886
10026 1.9561768254
17077 1.7679223046
19090 1.1813387215
50000 17.3022649809
evaluations raw_y
1 21.7463141700
2 11.8372808583
9 4.0527658748
181 3.8782001360
228 2.9839948475
451 2.0716120926
2050 1.9261589184
6868 1.5979731531
42929 1.4168838790
49538 1.3684876410
50000 23.4057570026
evaluations raw_y
1 8.0891266517
7 6.4753698478
11 5.5378661677
22 4.8469949098
123 3.4426523369
615 3.1623310317
699 2.5567543631
1540 2.4829369915
3648 2.4740207548
7272 2.1898303493
11042 2.0556353036
19585 2.0550145678
19798 1.9908540392
20905 1.6700975162
32795 1.6633098067
50000 14.4927944813
evaluations raw_y
1 26.4451420013
2 13.5355900169
6 12.5483969198
7 8.9551256004
10 6.5312488899
50 5.5442070186
97 4.5596103346
118 3.7896277947
141 3.5674197330
147 3.1217651342
278 2.7938088876
741 2.4646151922
1128 2.0550371244
1507 1.9778211425
4255 1.8934903390
7746 1.1903351750
50000 6.5923604457
