evaluations raw_y
1 -484.0000000000
2 -477.0000000000
4 -262.0000000000
8 -228.0000000000
69 -222.0000000000
99 -214.0000000000
249 -174.0000000000
1279 -121.0000000000
2111 -102.0000000000
2589 -75.0000000000
3294 -56.0000000000
3373 -54.0000000000
4190 -49.0000000000
4326 -35.0000000000
4384 -15.0000000000
5612 -8.0000000000
6372 -1.0000000000
6744 4.0000000000
7094 5.0000000000
9058 6.0000000000
12051 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -302.0000000000
4 -289.0000000000
32 -248.0000000000
108 -161.0000000000
1128 -154.0000000000
1524 -148.0000000000
1816 -141.0000000000
2166 -108.0000000000
2481 -101.0000000000
2603 -94.0000000000
2617 -88.0000000000
2958 -87.0000000000
3088 -75.0000000000
3586 -48.0000000000
4092 -42.0000000000
4595 -41.0000000000
4680 -35.0000000000
4705 -28.0000000000
5766 -22.0000000000
5792 -3.0000000000
6007 -2.0000000000
7308 4.0000000000
7423 5.0000000000
10210 6.0000000000
45621 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -255.0000000000
37 -208.0000000000
179 -194.0000000000
271 -154.0000000000
1571 -148.0000000000
1864 -121.0000000000
2536 -114.0000000000
2630 -108.0000000000
2744 -101.0000000000
3120 -76.0000000000
3672 -61.0000000000
4580 -47.0000000000
4624 -10.0000000000
5084 -9.0000000000
5503 -3.0000000000
6741 3.0000000000
7603 5.0000000000
10770 6.0000000000
100000 6.0000000000
evaluations raw_y
1 -443.0000000000
2 -282.0000000000
11 -281.0000000000
17 -261.0000000000
24 -228.0000000000
138 -148.0000000000
247 -134.0000000000
1011 -128.0000000000
2301 -101.0000000000
2702 -94.0000000000
3193 -41.0000000000
3881 -8.0000000000
6736 4.0000000000
7854 5.0000000000
9905 6.0000000000
14881 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -544.0000000000
3 -295.0000000000
9 -202.0000000000
86 -174.0000000000
770 -148.0000000000
1545 -147.0000000000
1563 -87.0000000000
2293 -74.0000000000
2584 -47.0000000000
3277 -41.0000000000
4197 -22.0000000000
4560 -14.0000000000
4586 -9.0000000000
6229 -3.0000000000
6310 -2.0000000000
