evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
265 2.3277467412
1481 2.6427061311
2778 2.6881720430
6680 2.7352297593
9404 2.8868360277
11843 3.2467532468
13435 3.3875338753
100000 3.3875338753
evaluations raw_y
1 1.4863258026
3 1.6600265604
44 1.7337031900
112 1.9025875190
241 2.0000000000
318 2.0259319287
439 2.2935779817
1111 2.7839643653
4668 2.8344671202
5978 3.5410764873
19890 3.7993920973
100000 3.7993920973
evaluations raw_y
1 0.7617306520
2 0.9697439876
3 1.0137875101
5 1.1071744907
9 1.5006002401
10 1.6087516088
12 1.6254876463
20 1.6600265604
25 1.7531556802
45 1.8796992481
267 2.0259319287
546 2.3277467412
1118 2.6427061311
2833 2.7352297593
4203 3.0562347188
13516 3.2467532468
14273 3.3156498674
18783 3.3875338753
23185 3.5410764873
27365 4.4483985765
100000 4.4483985765
evaluations raw_y
1 0.7400828893
2 1.7337031900
18 1.8142235123
90 1.8355359765
101 1.9260400616
158 2.1079258010
395 2.2603978300
1659 2.3629489603
2072 2.6427061311
2716 2.6881720430
5348 2.7352297593
7673 2.8868360277
8349 3.1172069825
10175 3.9936102236
22613 4.0983606557
27573 4.3252595156
100000 4.3252595156
evaluations raw_y
1 1.6600265604
8 1.6778523490
22 1.8142235123
62 1.8573551263
76 1.9025875190
159 2.3629489603
776 2.6427061311
2703 2.6881720430
3736 2.7352297593
4721 3.1806615776
12837 3.3156498674
15180 3.4626038781
24095 3.6231884058
31105 3.9936102236
100000 3.9936102236
evaluations raw_y
1 1.0204081633
2 1.2899896801
5 1.7730496454
16 1.9500780031
30 2.1968365554
240 2.2935779817
532 2.5150905433
1434 2.6427061311
4925 2.7352297593
6797 2.9411764706
7404 3.1172069825
12572 3.3875338753
21612 3.5410764873
27636 3.6231884058
32981 3.8940809969
100000 3.8940809969
evaluations raw_y
1 1.4060742407
3 1.8573551263
150 1.9500780031
215 1.9747235387
223 2.0259319287
282 2.4366471735
1342 2.5150905433
3729 2.7352297593
5435 2.8344671202
6022 3.1172069825
8595 3.6231884058
26535 3.9936102236
27017 4.3252595156
100000 4.3252595156
evaluations raw_y
1 2.0798668885
61 2.2935779817
1049 2.4752475248
1344 2.6427061311
3708 2.7352297593
4122 2.9976019185
6613 3.1172069825
11471 3.1806615776
12159 3.2467532468
20613 3.3875338753
28135 3.7993920973
100000 3.7993920973
evaluations raw_y
1 1.2690355330
7 1.4863258026
14 1.5762925599
19 1.8142235123
41 1.9500780031
73 2.0000000000
314 2.0525451560
440 2.1663778163
571 2.5987525988
2102 2.9976019185
13385 3.1806615776
14518 3.2467532468
14747 3.3156498674
18342 3.7091988131
28455 4.0983606557
33669 4.2087542088
100000 4.2087542088
evaluations raw_y
1 1.2291052114
2 1.4585764294
3 1.5923566879
19 1.6254876463
21 2.3277467412
481 2.5987525988
3307 2.6881720430
4822 2.9411764706
6025 2.9976019185
8589 3.2467532468
13312 3.4626038781
19086 3.6231884058
100000 3.6231884058
evaluations raw_y
1 0.8350033400
2 1.6254876463
29 1.7730496454
32 1.8142235123
41 2.2603978300
485 2.3277467412
583 2.3629489603
1787 2.8868360277
6055 3.1172069825
9779 3.1806615776
13368 3.6231884058
19114 4.5787545788
100000 4.5787545788
evaluations raw_y
1 0.8922198430
2 1.0993843448
5 1.2487512488
8 1.3227513228
10 1.3340448239
14 1.6425755585
40 1.6600265604
46 2.0000000000
90 2.2281639929
308 2.3629489603
1156 2.5987525988
3622 2.6881720430
4597 2.8868360277
5255 3.2467532468
7534 3.4626038781
14245 3.5410764873
100000 3.5410764873
evaluations raw_y
1 0.7002801120
2 1.2195121951
3 1.2588116818
11 1.6254876463
13 2.0525451560
82 2.6881720430
3042 2.9976019185
5389 3.3156498674
11367 3.7091988131
13347 3.7993920973
16011 3.8940809969
100000 3.8940809969
evaluations raw_y
1 1.0072522160
3 1.0137875101
4 1.4585764294
14 1.9500780031
161 2.1663778163
213 2.2281639929
272 2.3992322457
545 2.4366471735
1371 2.4752475248
3815 2.5150905433
4519 2.7352297593
6916 2.8868360277
7063 3.1172069825
12928 3.3156498674
15729 3.3875338753
17059 3.4626038781
20117 3.7091988131
26638 4.3252595156
100000 4.3252595156
evaluations raw_y
1 0.4911591356
2 1.7730496454
27 1.8573551263
243 2.0798668885
711 2.1079258010
1121 2.2935779817
2146 2.7839643653
4715 3.1172069825
10265 3.6231884058
17921 3.7091988131
100000 3.7091988131
evaluations raw_y
1 0.4221546775
2 1.7730496454
95 2.1968365554
202 2.3992322457
1645 3.0562347188
12000 3.1172069825
15832 3.2467532468
19004 3.4626038781
100000 3.4626038781
evaluations raw_y
1 0.8821453776
3 1.1394712853
12 1.3572204126
13 1.4723203769
18 1.5762925599
55 1.7934002869
59 1.8355359765
127 1.9500780031
321 2.0525451560
364 2.0798668885
645 2.1663778163
726 2.1968365554
1037 2.2281639929
1077 2.5150905433
1400 2.5562372188
2007 2.6427061311
3976 2.7352297593
4412 2.8344671202
5101 2.9411764706
7901 3.3156498674
8814 3.3875338753
11778 3.7091988131
100000 3.7091988131
evaluations raw_y
1 1.3007284079
9 1.3572204126
11 1.5605493134
19 1.6087516088
38 1.8573551263
67 2.1079258010
90 2.1968365554
163 2.4366471735
230 2.5150905433
1517 2.5987525988
2075 2.7352297593
4965 2.7839643653
5090 2.9411764706
5553 3.1172069825
8066 3.2467532468
8348 3.4626038781
22876 3.7993920973
32462 3.8940809969
100000 3.8940809969
evaluations raw_y
1 1.3812154696
5 1.5923566879
7 1.6254876463
10 1.6778523490
50 1.8796992481
88 1.9260400616
132 2.0798668885
607 2.1663778163
638 2.2603978300
1009 2.5562372188
2999 2.7839643653
5273 2.8868360277
10152 2.9411764706
13686 2.9976019185
13733 3.2467532468
16722 3.4626038781
23626 3.6231884058
100000 3.6231884058
evaluations raw_y
1 1.0548523207
2 1.1230907457
3 1.3691128149
8 1.3935340022
9 1.4188422247
30 2.0798668885
38 2.1079258010
361 2.1663778163
413 2.2603978300
615 2.4366471735
2452 2.5987525988
4808 2.7839643653
5932 3.0562347188
13761 3.1172069825
14604 3.3875338753
19525 3.6231884058
21005 3.7091988131
24691 4.0983606557
100000 4.0983606557
